doc,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19
McInnes et al. - 2018 - UMAP Uniform Manifold Approximation and Projectio.txt,-13.313772,-18.023226,-17.397045,16.366291,10.865797,1.1705258,15.288834,-13.535352,14.200945,10.687457,-23.620525,2.5845163,-26.878529,-4.025247,6.975918,-5.2469435,2.7877054,-8.070586,16.562988,-5.703234
Huang et al. - 2019 - Augmented Versus Virtual Reality in Education An -245.txt,-6.4616237,-10.079997,-11.126985,10.571734,9.1827965,8.332227,12.7014475,-8.246399,4.65431,7.6316385,-20.656755,-2.5564625,-15.261978,-2.727477,2.8974483,-12.845256,-2.7473366,-11.29177,13.75022,-2.997696
he2004.txt,-12.779513,-17.813272,-17.546112,15.942586,13.176421,2.200495,13.816691,-18.052557,21.807987,12.434276,-25.552872,6.839445,-31.740417,-5.778492,0.118009835,-7.6169434,-3.4189692,-0.012037329,16.159182,-8.553345
Krokos et al. - 2018 - Virtual memory palaces immersion aids recall.txt,-10.442779,-15.476003,-17.696672,18.547676,11.335489,4.5719256,12.701709,-11.915953,11.600842,10.648766,-25.296003,-0.41780913,-23.727922,-5.807601,4.037864,-10.904528,-2.422914,-9.37467,16.612768,-5.493809
Bertini et al. - 2005 - Visualization in Digital Libraries.txt,-5.3267922,-10.987428,-12.777613,13.945452,10.074326,0.43234846,9.774101,-9.38853,7.9794397,8.363041,-13.278734,3.04451,-16.307177,-3.3398871,2.1209304,-5.8011675,0.20588465,-4.0827317,11.030516,-4.389559
Garfield et al. - 1964 - THE USE OF CITATION DATA IN WRITING THE HISTORY OF.txt,-10.360632,-14.916471,-15.947836,17.89333,1.8920815,0.067322224,9.544754,-14.165823,12.417953,1.6963197,-25.460997,0.13768235,-27.118883,2.661141,4.0110035,-10.158638,-1.8719879,-5.4259934,11.259599,1.121841
Song and Norman - 1993 - Cosmic Explorer A virtual reality environment for.txt,-2.7691295,-9.274203,-12.1859,6.034597,9.972678,0.92377454,12.537467,-9.529635,5.078865,9.378036,-16.615108,-1.7973967,-17.141747,-3.061747,2.6345947,-0.19794822,2.359904,-1.4463488,10.429058,-2.8845253
Holloway et al. - 2007 - Analyzing and visualizing the semantic coverage of.txt,-7.467671,-15.789951,-16.571278,15.855446,7.058318,1.1766274,8.957505,-14.862459,10.200983,7.690918,-19.16199,0.5485379,-22.097334,0.65105927,5.1600604,-4.504396,-1.6906086,-4.3495626,12.001948,-2.647485
Assa et al. - 1997 - Displaying data in multidimensional relevance spac.txt,-3.3112292,-7.1970844,-10.682546,7.511072,8.609803,2.305255,8.431661,-10.753025,3.912587,4.0704184,-13.06275,-0.797202,-14.224782,-4.3768277,-0.56955075,1.8442235,0.8971548,0.3921885,8.249047,-3.4635646
Boyack et al. - 2005 - Mapping the backbone of science.txt,-8.410608,-9.861246,-11.113414,12.566885,1.4584103,3.1353827,8.189791,-11.723134,6.3620486,4.3574815,-18.773548,1.7298242,-22.013369,1.6945469,3.095139,-2.5542104,0.8947342,-2.3662465,7.6992946,-2.63262
Hinton and Salakhutdinov - 2006 - Reducing the Dimensionality of Data with Neural Ne.txt,-9.037977,-12.916944,-11.436432,8.8965,6.503262,-1.3832413,9.448925,-7.7501545,12.905112,8.743549,-16.508848,1.0626292,-19.242579,-0.23286553,6.9879317,-3.8762796,1.0569669,-6.5456796,9.848481,-6.595989
Nelson et al. - 1999 - XGobi vs the C2 Results of an experiment comparin.txt,-4.1076655,-7.9913063,-7.192549,9.662337,11.036496,5.066417,11.977651,-7.389882,4.094115,7.1776896,-17.239157,-3.5306993,-21.09722,-2.2511559,3.9045985,-6.106779,-1.8163385,-3.0907557,6.919076,-5.431745
[1607.05368] An Empirical Evaluation of doc2vec wi.txt,-11.655035,-16.379118,-17.237522,17.331089,12.132638,2.7012362,9.239374,-10.56531,20.191158,8.249853,-20.721907,5.3798532,-23.218437,-1.1189053,3.554776,-14.935635,-2.9842134,-10.273684,13.530335,-6.86879
Liu and Theodoropoulos - 2010 - A continuous matching algorithm for interest manag.txt,-5.4678507,-16.727726,-13.546389,2.4221036,13.039586,0.5798471,12.55903,-12.417796,11.534971,10.441616,-15.148675,2.3507109,-17.276737,-13.401932,1.3103564,-2.9447958,2.4303832,-3.9065113,14.889429,-3.41072
Szymański - 2011 - Self–Organizing Map Representation for Clustering .txt,-7.4638834,-12.140925,-13.700417,9.457214,4.8912725,1.071889,7.1414676,-11.015457,9.406452,5.4184356,-15.540205,1.7751724,-16.884626,-2.3315938,2.3496594,-2.5266502,-0.5198801,-3.5219333,6.9354553,-2.5164726
2018 - Self-Tuned Descriptive Document Clustering Using a.txt,-14.131831,-22.808289,-20.317106,21.659737,9.040676,6.083267,15.902629,-20.789198,14.910462,13.814557,-25.762522,7.2380652,-27.921818,-0.9350223,8.60548,-7.159724,1.2885102,-8.913146,17.080349,-8.743056
Shin and Lee - 2006 - Motion synthesis and editing in low-dimensional sp.txt,-4.5958796,-9.938816,-9.894473,9.908797,11.216807,-0.5901588,13.695989,-7.7125793,7.745655,13.322044,-18.849897,-3.1080434,-20.461489,-2.1005409,6.0701056,-3.0196822,0.42123374,-7.6874576,10.38246,-8.749406
Kumar et al. - 2010 - Exploiting N-gram Importance And Additional Knowle.txt,-8.335896,-18.366636,-14.307462,13.918422,7.570322,6.7331023,6.6631656,-15.313773,12.172798,7.392277,-19.980225,7.052609,-19.363935,-1.1419687,3.8731046,-6.1360373,-2.536078,-6.7697225,11.163474,-4.9548063
Steinbach et al. - 2000 - A Comparison of Document Clustering Techniques.txt,-9.725099,-19.217289,-20.90149,17.77903,11.235153,5.9038877,16.011276,-17.370516,12.327393,11.108544,-25.730392,4.1674776,-30.559265,-5.9828863,3.179521,-8.781983,-0.5993762,-3.6807573,19.55589,-6.857165
Herman et al. - 2000 - Graph visualization and navigation in information -259.txt,-6.276542,-10.980692,-13.860964,12.298229,9.618662,2.2753444,17.194818,-11.580436,5.5589466,4.5204315,-18.168108,0.56590724,-18.709415,-1.5480908,3.0584683,-1.7284079,2.9550698,-3.7582717,10.822909,-1.9378932
Le and Mikolov - 2014 - Distributed Representations of Sentences and Docum.txt,-10.546804,-15.571994,-16.392687,13.748481,9.534366,1.8291043,8.06615,-11.487617,14.54592,8.773675,-15.225301,6.0977936,-19.10887,-3.469009,4.1841106,-10.3902445,-1.932438,-8.326009,10.818992,-4.141989
Abualigah et al. - 2017 - Text feature selection with a robust weight scheme.txt,-23.153158,-48.652195,-61.289165,28.98786,46.09317,10.30663,11.274601,-36.48267,14.25482,23.366104,-62.63824,19.542225,-86.47827,-11.528264,10.486097,-4.721697,-8.996006,-20.946465,26.68291,11.365737
Massari and Saladini - 1996 - Virgilio a VR-based system for database visualiza.txt,-1.1702727,-7.626842,-9.654327,10.490341,9.175413,1.5880796,10.774036,-8.981206,5.478314,7.098956,-10.97477,1.0939733,-11.461167,-0.045152493,3.189659,-2.359862,1.1177229,-4.6865616,8.329621,-1.6139253
Herr et al. - 2009 - The NIH Visual Browser An Interactive Visualizati.txt,-6.5355277,-8.030718,-9.729236,11.302324,5.665747,1.8334181,9.362872,-10.871457,5.520582,6.1828423,-13.713741,3.1840339,-18.296762,1.8048464,2.5242364,-2.2685206,-1.5696723,-4.010455,6.6269755,-2.0271614
Kochevar and Wanger - 1995 - The Tecate data space exploration utility.txt,-4.6236773,-18.86522,-19.559511,10.135274,16.230751,5.295858,10.576635,-16.144089,4.6072893,11.196764,-21.311855,6.002761,-26.003853,-3.491386,5.2353115,2.0830352,-0.61931306,-8.617361,9.388616,2.3781624
Aghajan et al. - 2015 - Impaired spatial selectivity and intact phase prec.txt,-36.08114,-49.15426,-45.837265,31.76741,41.36516,10.917414,19.390457,-23.954144,18.688002,23.705557,-65.858635,7.9527783,-80.24944,-5.4085517,11.770565,-17.147812,-7.3174663,-22.688818,39.075905,1.7480412
Modjeska and Waterworth - 2000 - Effects of desktop 3D world design on user navigat.txt,-2.8225183,-8.713971,-11.824138,3.85412,11.195274,5.981918,7.808103,-11.032323,3.4797506,5.788612,-15.412137,1.6938415,-15.37385,-5.808172,-1.7030323,-3.8310137,0.3768003,-4.446199,10.105214,1.4788609
he2004-155.txt,-25.009977,-43.18494,-40.094227,27.43847,35.26516,13.28812,11.632412,-30.222118,26.626581,25.832712,-56.458393,18.100025,-72.80491,-15.261322,5.91034,-6.314725,-10.04046,-9.211806,32.4525,6.971747
Olsen et al. - 1991 - Ideation through visualization The VIBE System.txt,-34.506516,-39.45356,-48.665646,31.891722,34.821037,15.508543,24.537928,-30.783264,18.791958,24.556013,-59.387455,11.214411,-69.38836,-9.164992,2.3005252,-15.47704,-5.132484,-9.421514,31.583311,0.5453739
Ohtani et al. - 2011 - Scientific Visualization of Plasma Simulation Resu.txt,-12.386067,-18.053795,-24.564384,9.674854,17.73434,0.33169225,15.779252,-6.53834,10.104383,13.493135,-26.632725,-2.870825,-31.821043,-6.759219,1.8873591,-6.2438197,-1.3652742,2.073476,20.158028,-5.147278
Carey et al. - 2003 - Info Navigator A visualization tool for document .txt,-30.303907,-33.88139,-42.076946,35.49,28.878092,14.0088825,24.967161,-29.572039,20.928968,21.80513,-46.155376,9.459799,-61.09947,-8.045021,1.1400867,-12.089822,-2.0924761,-4.0301194,30.39288,-10.468585
Jagodziński and Wolski - 2015 - Assessment of Application Technology of Natural Us.txt,-27.590847,-32.07516,-40.13532,33.77968,26.034391,13.885666,25.864597,-28.378296,21.44838,25.621864,-46.836964,6.8314204,-54.30583,-6.3192773,6.4295835,-18.77865,-2.0146706,-10.043515,32.349747,-3.3002477
Aghajan et al. - 2015 - Impaired spatial selectivity and intact phase prec-224.txt,-26.483965,-31.181074,-29.24243,24.698904,23.555996,2.3815231,21.17904,-13.32747,14.55982,17.158258,-48.66459,4.263293,-49.778557,-3.140154,8.129833,-22.701984,-4.643898,-11.39842,28.396896,-8.987868
Westerman and Cribbin - 2000 - Mapping semantic information in virtual space dim.txt,-20.829435,-22.314064,-28.821028,25.726118,23.915762,11.032558,23.050884,-18.732254,14.940702,14.857522,-40.885548,5.269039,-45.11074,-5.2424316,0.124770194,-22.545729,-4.852504,-1.9332907,23.608711,-8.638716
Merabet et al. - 2012 - Teaching the Blind to Find Their Way by Playing Vi.txt,-19.753693,-20.408308,-27.824638,23.87912,18.925406,6.435101,23.139593,-14.231246,11.948943,16.812326,-32.665173,1.8035802,-38.72068,-6.4156265,5.750095,-18.534748,-3.5665457,-7.3378363,23.429749,-7.2962575
Small - 1994 - A SCI-Map case study Building a map of AIDS resea.txt,-19.123644,-19.790148,-24.771496,24.922453,13.232343,9.2236,19.587328,-17.599611,12.5631485,11.201347,-32.478657,2.6769798,-41.105682,-1.5450735,4.3641148,-11.779907,-2.4454694,0.045235287,18.432901,-4.3987
Dhanapala and Jayasumana - 2010 - Dimension reduction of virtual coordinate systems .txt,-17.114986,-21.495607,-25.794651,14.54628,10.323894,-0.8543871,15.212207,-12.94805,17.099134,11.885328,-25.204735,-0.16192542,-32.251324,-5.401151,1.3548577,-5.019056,1.2434925,-1.2926406,19.6274,-6.352456
Calogiuri et al. - 2018 - Experiencing Nature through Immersive Virtual Envi.txt,-22.91582,-31.56999,-33.41293,20.801603,15.027427,6.4872894,18.262865,-19.13235,16.248219,15.703461,-38.229633,1.5070822,-39.90452,-6.702103,3.8760982,-15.669025,-0.82632196,-6.722718,29.83292,-2.9905853
Soldati et al. - 2007 - SphereViz - Data Exploration in a Virtual Reality .txt,-10.364649,-14.986513,-21.109797,15.618926,15.137082,5.070751,15.356771,-11.744458,10.528811,12.318566,-24.235353,2.0540686,-27.97544,-3.8293793,0.15919696,-7.406507,-1.5513867,-1.737886,18.36959,-5.6646233
Wise et al. - 1995 - Visualizing the non-visual spatial analysis and i.txt,-14.207672,-15.9425535,-19.2596,18.964373,11.367085,4.5714583,14.525062,-15.342953,9.868886,10.645829,-23.218473,2.1405213,-28.48469,-3.305487,-0.14985432,-8.914232,-1.9435153,-2.327912,18.29833,-5.343394
Cai and He - 2005 - Orthogonal locality preserving indexing-171.txt,-18.847124,-21.272501,-22.53616,18.764145,15.289967,4.451269,14.471894,-19.474033,19.18765,15.169177,-31.39895,6.220659,-36.86165,-9.539753,-1.3337227,-10.529485,-3.4128397,0.85688114,17.973957,-8.21981
Kaplan and Kaplan - 1989 - The Experience of Nature A Psychological Perspect.txt,-16.943766,-19.683634,-22.236406,19.0275,14.519664,4.2473364,14.237456,-16.49066,12.673084,10.097613,-28.018236,1.6700503,-29.336111,-5.423221,2.012491,-14.375766,-1.2099365,-6.022046,22.346155,0.36351886
"Merchant et al. - 2012 - The learner characteristics, features of desktop 3.txt",-14.678644,-16.179367,-23.659788,19.339106,16.896765,12.139686,21.074327,-19.176035,9.433392,13.322751,-31.296907,1.7674989,-31.98067,-5.8074975,1.2117312,-15.941738,-1.7628386,-8.06848,22.476254,-6.4047422
Brockmeier et al. - 2018 - Self-Tuned Descriptive Document Clustering Using a.txt,-21.779144,-25.514883,-24.978443,26.37256,13.280988,10.462831,18.705511,-21.621107,15.589408,17.273277,-30.130295,7.634708,-37.330643,-4.3121104,10.106547,-9.690125,0.36041093,-10.522015,22.073538,-7.6769505
Huang et al. - 2019 - Augmented Versus Virtual Reality in Education An .txt,-10.684099,-13.247551,-18.159927,14.409649,11.456035,11.511863,14.660825,-11.314642,7.232824,12.682586,-22.301493,0.75516975,-23.206259,-6.8200097,3.1246758,-16.064072,-2.992496,-9.163257,16.466526,-6.1415467
Leydesdorff - 1987 - Various methods for the mapping of science.txt,-17.271519,-17.285267,-23.822056,23.034697,9.119156,7.806974,15.78693,-16.006777,9.156556,8.785109,-31.292593,4.670491,-36.515038,-2.6945755,2.706625,-13.321598,-0.37634152,-2.997352,20.560186,-3.6993988
Luckin - 2008 - The learner centric ecology of resources A framew.txt,-12.653368,-20.014301,-24.751373,18.365381,9.355854,6.4174323,10.95675,-14.249087,10.1255,12.043717,-23.593004,2.9494455,-22.450405,-5.29425,2.3895524,-12.83853,-4.099466,-7.5603924,20.49308,-1.2784082
Liu and Theodoropoulos - 2009 - An approach for parallel interest matching in dist.txt,-9.154235,-18.603853,-23.040632,7.057521,13.160337,-0.6170228,15.199847,-14.274276,11.712995,14.797165,-18.235651,0.37261298,-22.360037,-13.770965,1.397582,-4.963074,4.1038823,-4.9203525,21.029974,-3.2437654
Ng and Han - 1994 - Efficient and Effective Clustering Methods for Spa.txt,-14.700377,-18.716341,-22.192741,13.677202,7.034791,7.6858687,14.836747,-16.103554,2.6681497,11.606879,-24.944088,7.1657434,-28.781902,-8.16228,4.766695,0.47782904,2.12096,-0.9448689,17.969597,-4.701909
He et al. - 2004 - Locality preserving indexing for document represen.txt,-18.163002,-20.44383,-23.24393,17.344622,14.390797,6.2794504,13.9584675,-17.924341,21.180693,13.529333,-28.385784,8.226779,-34.30711,-7.9945283,0.13127619,-9.5245905,-3.5675907,0.28565907,19.279093,-7.4589243
Chignell and Modjeska - 2000 - Hierarchical data visualization in desktop virtual.txt,-8.02509,-14.081631,-19.21837,14.440238,11.59044,4.8319893,15.980902,-13.16548,11.058824,7.6625843,-22.740839,1.8233548,-25.812922,-7.748909,-2.9753237,-10.277854,-1.3850906,-4.470352,17.9584,-4.382428
"Cipresso et al. - 2018 - The Past, Present, and Future of Virtual and Augme.txt",-11.7464485,-18.270557,-21.016088,16.049446,7.422537,5.4065013,15.376497,-13.521676,9.589973,10.986848,-25.451025,2.9025161,-27.616343,-4.817964,-0.4259821,-11.240256,-0.81977874,-7.1664195,21.333574,-5.2720323
Davies et al. - 1997 - Information agents for the World Wide Web.txt,-9.748355,-15.962307,-18.634779,17.56937,9.670998,4.906961,11.806135,-15.223383,14.155728,7.554722,-20.527983,7.0675564,-24.33673,-5.7870803,-0.121057115,-8.442672,-4.3653483,-0.33836523,14.685494,-3.8436038
Kohonen et al. - 2000 - Self organization of a massive document collection.txt,-11.330952,-15.158586,-20.2987,13.457543,7.6614447,3.0863128,11.822532,-15.415297,12.826351,8.584576,-22.431133,3.0961964,-26.977741,-2.5836883,1.4546123,-5.796902,-1.2927147,-3.6324909,14.657516,-4.1585894
Shneiderman et al. - 1997 - Clarifying Search A User-Interface Framework for .txt,-7.799553,-13.291604,-20.90528,18.523968,13.692424,10.40203,13.142344,-15.190251,10.670758,7.990816,-20.38342,3.4636774,-24.494078,-3.98844,0.06469686,-11.325468,-3.7137976,-3.1131623,15.838846,-2.1959934
Park et al. - 2000 - Lessons learned from employing multiple perspectiv-153.txt,-4.8257456,-13.800436,-19.541903,10.308664,13.317014,6.4980497,12.01878,-14.179648,11.844282,11.138173,-19.905437,-3.539341,-20.1082,-8.758882,0.5775527,-6.685269,-3.6511362,-2.3868885,15.959277,-7.78562
Liu et al. - 2017 - A review of the smart world.txt,-12.780125,-18.53237,-22.871191,16.8345,10.230623,-1.8162884,14.098467,-15.3940115,9.698775,14.569883,-16.006355,0.83229184,-24.389948,-6.4096837,3.269894,-5.002738,5.677396,-8.971885,19.998701,-2.909454
Costagliola and Fuccella - 2011 - CyBiS A Novel Interface for Searching Scientific .txt,-5.8799114,-8.158801,-14.792283,12.420304,9.022986,5.412824,10.08507,-13.534088,8.924436,7.109344,-16.198288,-0.7875995,-17.322327,-2.063431,-0.40288928,-6.466087,-2.8482718,-1.4666575,10.581208,-3.620162
Kaplan - 1995 - The restorative benefits of nature Toward an inte.txt,-10.725612,-18.619812,-18.761038,18.457668,9.654741,1.7775207,13.038413,-10.943817,7.841093,7.880026,-20.557255,1.1713763,-22.776585,-7.3053775,0.87831837,-12.844981,2.123204,-10.404683,18.583239,1.987779
Chen - 1999 - Visualising semantic spaces and author co-citation.txt,-12.512009,-16.090006,-22.060522,20.94594,14.992104,6.5490184,16.796959,-15.964698,12.399663,6.816247,-29.095436,2.381407,-31.005596,-3.8782885,-0.65951484,-14.151377,-2.5895493,-0.9239231,22.393446,-3.4435062
Efficient and Effective Clustering Methods for Spa.txt,-10.422817,-15.923545,-18.55427,11.413811,3.1241274,6.438659,14.473679,-13.947339,-0.10345584,8.335399,-20.840229,5.3020425,-22.990301,-7.471702,3.2863288,2.0107129,1.6024756,-0.09262191,16.270735,-3.670417
Rehurek and Sojka - 2010 - Software Framework for Topic Modelling with Large .txt,-10.32216,-13.361769,-16.353737,16.234737,7.5033374,2.4802198,8.9299345,-13.739507,10.648798,7.9792953,-16.51755,5.4005857,-22.445934,-3.4092007,1.6740499,-6.5021935,-0.8870613,-1.9058137,11.172061,-4.4196224
Sugimoto et al. - 1998 - A system for constructing private digital librarie.txt,-8.627934,-15.181671,-19.468096,13.7352915,11.203121,8.689268,13.269502,-14.379188,8.072639,8.255718,-20.287817,4.289781,-22.694088,-7.4167423,1.5046638,-5.538776,-0.2631893,-4.8466425,14.759624,-3.5319664
Barker - 2013 - Digital Badges in Informal Learning Environments.txt,-6.4531713,-16.652227,-18.855999,10.72034,4.9549766,1.9879981,7.620921,-14.835175,6.3638783,9.1294775,-10.99512,-0.6495461,-12.411031,-5.910451,2.9532268,-11.098982,0.3116129,-11.615649,13.080185,0.17309473
Bharti and Singh - 2015 - Hybrid dimension reduction by integrating feature .txt,-13.016286,-16.261238,-20.893198,20.33917,8.4224615,7.9848657,17.313799,-19.291006,11.415688,9.879874,-22.445705,6.857224,-28.69102,-4.3491826,5.2930145,-8.329057,1.9786413,-8.396037,16.63333,-4.894969
Capece et al. - 2018 - GraphVR A Virtual Reality Tool for the Exploratio.txt,-7.0092015,-11.525813,-15.795072,8.099421,8.338788,3.7358098,12.405425,-9.4233265,3.5231075,9.338848,-16.42529,-1.3386686,-18.994995,-4.1009,2.6255841,-2.1359694,0.45969558,-3.061226,14.121593,-4.1384234
Small - 1997 - Update on science mapping Creating large document.txt,-9.798101,-9.02885,-10.923313,14.251761,8.083122,4.8087444,14.100781,-11.189697,4.5092745,4.351432,-23.948061,3.121218,-26.032133,-0.9150436,0.25270382,-7.7235165,0.4161608,-1.9183452,13.268783,-3.3195317
Cohen et al. - 1995 - I-collide An interactive and exact collision dete.txt,-11.878253,-14.753031,-16.147764,9.196079,15.498917,1.4496769,20.214746,-12.144769,7.8357387,12.41792,-21.207024,1.3292421,-23.043896,-9.451854,2.9008243,-3.784651,3.4819748,-4.285613,18.014366,-6.0331745
Godfrey et al. - 2016 - Interactive Visualization of Large Data Sets.txt,-9.934332,-12.654996,-18.997746,13.992599,9.050743,3.9391344,14.803778,-13.75285,5.3810635,9.586026,-19.051262,3.244768,-22.285398,-4.945572,4.457311,-4.364362,2.376955,-5.021722,14.563451,-4.0150666
Lau and Baldwin - 2016 - An Empirical Evaluation of doc2vec with Practical .txt,-16.863272,-22.301546,-21.42897,23.249847,16.511534,3.8561509,10.564487,-13.995534,21.681175,10.864037,-26.138908,8.377193,-33.019657,-3.7120214,2.0572906,-19.390182,-4.6929703,-7.599707,19.818205,-6.8247056
Taylor and Nitschke - 2017 - Improving Deep Learning using Generic Data Augment.txt,-9.989085,-16.461525,-16.495216,13.265058,9.0044,-3.7252877,10.504589,-8.424616,11.50304,13.420004,-15.032559,0.4453054,-19.000906,-3.6097903,8.118452,-5.1526012,0.90930295,-9.405074,13.462183,-4.2429338
Dubin - 1995 - Document analysis for visualization.txt,-7.213691,-8.894421,-12.318886,10.240842,10.122819,6.159906,7.851823,-13.653176,7.074275,4.810929,-18.268713,0.037426937,-18.252886,-1.4620265,0.81822455,-5.771225,-1.1752722,-2.5889535,10.467823,-2.7216928
Stern - 2014 - Virtual reality changes neuronal firing.txt,-7.426834,-15.861442,-13.990374,11.504164,4.656842,-1.1686835,9.690428,-5.8903675,6.1837244,6.362946,-19.842712,-3.6536312,-20.52288,-1.648619,3.9186685,-8.910274,-1.61998,-8.000685,13.71553,-2.9808218
A Method of Supporting Personal Activities in Virt.txt,-8.117762,-15.8099575,-15.425003,7.8815675,11.72463,0.61229455,10.667425,-10.823899,9.387765,10.699942,-19.496428,-4.884945,-19.914988,-7.9338727,3.4249804,-8.490345,0.9057068,-6.9281282,16.720238,-1.7813898
Mikolov et al. - 2013 - Efficient Estimation of Word Representations in Ve.txt,-14.050245,-21.490093,-19.735683,16.141232,9.436197,-0.15582274,9.999794,-14.225601,16.291481,11.59536,-22.046618,6.2418594,-26.519184,-4.3846607,4.5862846,-9.322773,-1.5598735,-6.5925007,17.790434,-5.92273
Rogowski et al. - 2013 - Poster Observing change in crowded data sets in 3.txt,-6.212571,-8.901357,-13.271801,9.433831,7.3338385,3.1446252,9.229469,-5.2187243,2.8312604,9.02994,-17.495684,-1.1775893,-16.865458,-0.4196824,4.5501747,-2.2031446,0.18022254,-1.7719276,11.583528,-5.8019147
Newman et al. - 2010 - Visualizing search results and document collection.txt,-10.119768,-11.204455,-15.083093,12.754647,8.906851,2.9165595,10.17172,-12.530633,14.122402,8.1770115,-21.4791,3.4463677,-22.764404,-0.013749739,0.11314154,-7.617503,-2.0755749,-2.4378297,11.576985,-6.6505494
Kim et al. - 2019 - Multi-co-training for document classification usin.txt,-13.527222,-23.273653,-20.623661,18.414122,7.6579165,5.216095,10.4959755,-15.6918335,16.50851,10.703817,-26.276806,4.5529838,-30.352234,-2.5712457,4.9799557,-10.565927,-2.5057104,-8.124709,19.438652,-7.7547665
